x,y,obs
112,270,11.38
116,266,45.72
112,285,3.3
113,287,5.18
113,288,8.0
115,298,6.1
116,318,6.1
112,325,4.02
117,114,7.77
114,146,20.39
114,147,6.4
114,152,36.58
117,172,2.6
114,207,3.35
116,224,36.58
115,224,3.05
114,229,12.8
117,238,6.1
115,236,10.67
114,246,18.29
115,249,54.86
115,269,2.42
114,271,32.5
117,288,11.66
117,295,9.14
113,343,0.39
115,132,11.58
116,163,7.53
117,173,28.4
117,202,11.58
114,207,1.83
114,211,54.86
114,235,10.97
117,238,8.23
114,247,6.67
115,258,42.67
114,258,7.34
116,269,10.06
117,266,39.61
114,268,7.07
115,282,39.53
118,115,6.1
115,154,9.14
116,158,6.1
116,164,2.35
119,167,15.24
117,173,25.91
118,235,4.27
116,266,47.3
119,269,5.66
119,269,3.29
118,116,2.44
119,167,16.76
117,193,3.05
116,209,34.5
120,224,22.25
116,257,2.55
120,268,14.99
119,268,2.37
118,293,21.34
118,164,5.79
120,174,10.59
117,193,21.34
117,238,9.14
117,246,4.57
117,255,0.84
118,254,48.77
120,266,6.75
117,268,16.0
117,287,13.25
121,293,4.22
117,291,18.29
120,296,28.04
119,297,21.3
121,331,3.66
119,361,3.28
117,362,4.22
122,173,0.0
119,206,25.3
118,228,21.34
122,233,9.14
118,241,12.19
119,248,30.48
122,252,19.81
118,254,13.41
118,255,46.48
119,269,5.71
118,292,32.92
120,313,3.66
119,354,8.23
118,358,5.49
118,358,5.87
121,131,6.71
121,131,5.18
122,141,50.29
121,151,8.14
120,170,0.0
119,206,15.85
123,227,21.03
120,254,6.02
123,263,6.68
120,268,2.16
122,286,12.86
122,286,11.71
122,292,12.19
121,293,4.27
121,298,6.1
120,305,3.05
120,333,1.52
120,333,1.56
123,348,13.45
121,355,6.1
119,357,2.74
120,359,5.49
120,359,5.67
124,168,0.0
121,169,9.91
120,172,15.24
121,190,2.74
122,203,30.48
123,222,6.1
123,222,1.22
124,225,2.88
122,233,12.19
123,252,12.19
121,254,27.43
120,254,2.86
120,268,12.97
124,292,9.14
121,311,7.62
124,331,6.1
124,349,2.44
120,364,2.14
123,125,4.57
123,125,4.27
122,164,3.51
124,177,7.16
124,182,39.62
124,240,45.72
121,253,15.97
121,266,4.86
122,286,12.8
122,289,18.29
121,292,1.53
122,292,9.45
121,311,4.57
121,311,4.57
121,354,9.14
123,360,6.74
122,360,6.4
124,363,4.57
126,228,15.24
122,233,9.14
126,238,8.23
123,252,3.96
122,266,7.51
122,287,6.1
124,288,8.53
122,286,12.8
124,288,7.32
126,289,1.52
124,302,3.66
125,308,8.23
125,308,6.1
124,308,24.38
124,345,49.99
122,349,6.1
123,354,4.67
122,352,5.49
125,354,8.64
122,356,17.04
123,358,9.35
125,362,3.76
126,124,0.61
125,160,1.83
125,160,0.46
125,166,1.74
124,166,11.9
124,176,10.97
125,195,5.49
126,219,21.34
123,229,13.41
123,229,12.19
125,234,19.2
127,238,4.27
123,251,4.52
123,252,13.72
123,252,12.52
123,286,6.1
127,288,9.14
123,289,15.24
127,310,15.18
125,308,7.62
124,327,13.72
123,332,3.84
125,345,10.67
124,347,7.62
125,354,7.22
123,358,10.25
127,362,1.29
123,358,18.93
124,365,8.92
126,127,3.35
128,142,29.87
128,163,24.38
127,166,6.54
125,195,27.43
128,227,6.1
125,232,9.75
124,251,17.86
125,285,3.89
127,288,9.45
126,296,17.68
127,297,6.13
124,304,7.62
126,306,18.29
124,347,8.83
126,345,5.49
128,355,10.67
128,363,7.2
129,125,12.8
128,123,6.71
129,139,0.3
126,144,23.16
125,164,15.46
128,217,14.58
128,217,15.24
126,228,12.19
128,226,9.14
129,239,20.42
125,240,36.58
127,241,51.82
129,284,6.1
128,280,28.96
129,288,51.21
127,297,3.66
127,301,3.05
128,304,3.67
128,326,12.28
125,347,3.05
129,343,5.58
127,357,2.69
128,359,4.27
129,359,7.41
129,362,13.76
128,357,11.57
129,366,12.02
126,127,4.27
128,162,0.0
126,165,12.19
126,196,20.35
129,215,4.57
129,216,1.52
129,216,2.44
130,224,0.91
127,228,20.29
128,226,11.19
129,228,6.1
129,232,6.1
126,236,30.48
129,240,56.39
130,270,7.76
130,298,9.14
126,309,0.0
129,323,2.44
127,329,4.88
128,343,8.51
128,346,12.68
130,343,4.82
127,356,2.1
129,365,18.68
129,365,17.14
128,140,0.91
128,157,0.0
130,163,27.43
