,x_loc,y_loc
969,23.0,137.0
970,23.0,137.0
971,23.0,137.0
972,23.0,137.0
973,23.0,137.0
974,23.0,138.0
975,23.0,138.0
976,23.0,138.0
977,23.0,138.0
978,23.0,138.0
979,23.0,138.0
980,23.0,138.0
981,23.0,138.0
982,23.0,138.0
983,23.0,138.0
984,23.0,138.0
985,23.0,139.0
986,23.0,139.0
987,23.0,139.0
988,23.0,139.0
989,23.0,139.0
990,23.0,139.0
991,23.0,139.0
992,23.0,139.0
993,23.0,139.0
994,23.0,139.0
995,23.0,139.0
996,23.0,140.0
997,23.0,140.0
998,23.0,140.0
999,23.0,140.0
1000,23.0,140.0
1001,23.0,140.0
1002,23.0,140.0
1003,23.0,140.0
1004,23.0,140.0
1005,23.0,140.0
1006,23.0,140.0
1007,23.0,141.0
1008,23.0,141.0
1009,22.0,141.0
1010,22.0,141.0
1011,22.0,141.0
1012,22.0,141.0
1013,22.0,141.0
1014,22.0,141.0
1015,22.0,141.0
1016,22.0,141.0
1017,22.0,141.0
1018,22.0,142.0
1019,22.0,142.0
1020,22.0,142.0
1021,22.0,142.0
1022,22.0,142.0
1023,22.0,142.0
1024,22.0,142.0
1025,22.0,142.0
1026,22.0,142.0
1027,22.0,142.0
1028,22.0,142.0
1029,22.0,143.0
1030,22.0,143.0
1031,22.0,143.0
1032,22.0,143.0
1033,22.0,143.0
1034,22.0,143.0
1035,22.0,143.0
1036,22.0,143.0
1037,22.0,143.0
1038,22.0,143.0
1039,22.0,144.0
1040,22.0,144.0
1041,22.0,144.0
1042,22.0,144.0
1043,22.0,144.0
1044,22.0,144.0
1045,22.0,144.0
1046,22.0,144.0
1047,22.0,144.0
1048,22.0,144.0
1049,22.0,144.0
1050,22.0,145.0
1051,22.0,145.0
1052,22.0,145.0
1053,22.0,145.0
1054,22.0,145.0
1055,22.0,145.0
1056,22.0,145.0
1057,22.0,145.0
1058,22.0,145.0
1059,22.0,145.0
1060,22.0,145.0
1061,22.0,146.0
1062,22.0,146.0
1063,22.0,146.0
